id,name,image,trait
88925,회무침,,
88926,연어회,,
88927,비빔밥,,
88928,볶음밥,,
88929,죽,,
88930,고기국수,,
88931,잔치국수,,
88932,비빔냉면,,
88933,물냉면,,
88934,잡채,,
88935,고추장불고기,,
88936,간장불고기,,
88937,갈비구이,,
88938,갈비찜,,
88939,장조림,,
88940,소곱창,,
88941,돼지곱창(양념),,
88943,보쌈,,
88944,족발,,
88945,양념치킨,,
88946,미역국,,
88947,된장찌개,,
88948,김치찌개,,
88950,고등어조림,,
88951,갈치조림,,
88952,유과,,
88953,약과,,
88954,식혜,,
88955,오니기리,,japanese|rice
88956,스시,,
88957,유부초밥,,
88958,가츠동,,
88959,규동,,japanese|stir_fried|soup|rice|vegetable|meat
88960,텐동,,
88961,우동,,
88962,야키우동,,japanese|stir_fried|noodle
88963,소바,,
88964,타코야키,,
88965,오코노미야키,,
88966,덴뿌라,,japanese|fried|seafood|meat|vegetable
88967,가라아게,,japanese|fried|meat
88968,스키야키,,
88969,타마고야키,,korean|sweetness|grilled|meat
88970,차완무시,,steamed|meat|japanese
88971,돈카츠,,
88972,니쿠자가,,japanese|meat|vegetable|steamed
88973,양갱,,
88974,라멘,,
88975,햄버그 스테이크,,
88976,라무네,,japanese|beverage|sweetness
88979,탕수육,,
88980,중화비빔밥,,
88981,깐풍기,,chinese|fried|meat|spicy
88982,유산슬,,chinese|seafood
88984,마라샹궈,,chinese|stir_fried|spicy
88985,탄탄면,,chinese|noodle|stir_fried
88986,우육면,,chinese|soup|meat
88987,칠리새우,,chinese|spicy|fried|seafood
88988,동파육,,chinese|steamed|meat
88989,딤섬,,chinese|fried|wheat|meat|vegetable
88990,훠궈,,chinese|soup|spice
88991,마파두부,,chinese|stir_fried|spicy
88992,멘보샤,,chinese|fried|wheat|seafood
88993,깐풍가지,,chinese|fried|vegetable
88994,고추잡채,,chinese|stir_fried|vegetable
88995,카오 팟,,asian|rice|stir_fried|spice
88996,카오 똠,,asian|soup|spice
88997,얌운센,,asian|stir_fried|spice
88998,팟타이,,asian|rice|stir_fried|spice
88999,푸팟퐁 커리,,asian|seafood
89000,똠양꿍,,asian|soup|spice
89001,분짜,,asian|spice|rice
89002,반미,,asian|wheat|spice
89003,햄버거,,western|meat|wheat|vegetable|grilled
89004,핫도그,,western|wheat|meat
89005,프라이드 치킨,,western|fried|meat
89006,피자,,western|wheat|vegetable|meat
89007,파스타,,western|stir_fried|noodle
89008,감자튀김,,western|fried|vegetable
89009,리조또,,western|rice|stir_fried|steamed
89010,티라미수,,western|sweetness|dessert
89011,고구마줄기볶음,,
89013,닭갈비,,
89014,꿔바로우,,
89018,초콜릿,,dessert|sweetness
89021,짜장밥,,
89022,나가사키짬뽕,,
89023,차돌숙주볶음,,
89025,쉬림프로제파스타,,
89027,소고기무국,,
89029,버섯크림리조또,,
89030,버터갈릭감자튀김,,
89033,알리오올리오,,
89034,치킨마요덮밥,,
89035,닭강정,,
89036,브라우니,,
89037,스콘,,
89038,치즈밥,,
89039,돼지막창,,
89041,김밥,,
89042,꽃게찜,,
89043,광어회,,
89044,샤인머스켓,,
89045,리코타치즈샐러드,,
89046,연어샌드위치,,
89047,버섯치즈파니니,,
89048,육회비빔밥,,
89049,김치볶음밥,,
89050,닭볶음탕,,
89051,삼겹살,,korean|meat|grilled
89052,매운탕,,korean|soup|spicy|vegetable|seafood
89053,짜장면,,korean|chinese|noodle|wheat
89054,짬뽕,,korean|chinese|soup|wheat|noodle|spicy
89055,마라탕,,chinese|soup|spice|spicy|meat|vegetable
89056,라면,,korean|noodle
89060,아메리카노,,korean|beverage|커피
89061,쌀국수,,rice|noodle|asian|spice
89062,참치김밥,,rice|korean
89064,시금치나물,,korean|raw|vegetable|stir_fried
89065,어묵탕,,soup|seafood|vegetable
89066,쫄면,,korean|wheat|noodle|vegetable|sour_taste|spicy
89067,묵은지,,korean|vegetable|sour_taste|spicy
89068,겉절이,,korean|vegetable|spicy
89069,밤고구마,,vegetable|sweetness
89070,호박고구마,,sweetness|vegetable
89071,버섯,,버섯
89072,탄산음료,,beverage|탄산
89073,어묵,,fried|seafood
89074,청국장,,korean|soup|vegetable|냄새
89075,가지볶음,,korean|stir_fried|vegetable|물컹물컹
89076,붕어빵(팥),,sweetness|wheat|dessert|grilled|팥
89077,붕어빵(슈크림),,wheat|grilled|sweetness|dessert|크림
89078,호빵(야채),,wheat|vegetable|meat
89079,호빵(팥),,wheat|steamed|sweetness|dessert
89080,레몬,,sour_taste|과일|sweetness
89081,딱딱한 복숭아,,단단함|sweetness|sour_taste|과일
89082,물렁한 복숭아,,물렁함|sweetness|과일
89083,그릭요거트,,sour_taste|sweetness|dessert
89084,육개장,,korean|soup|meat|vegetable|spicy
89090,돼지곰탕,,korean|soup|meat|맑은국물
